0x08D9E0F,054120626F79
0x298F1CC,FF38
0x29BE754,016F
0x29BE765,EB
0x29BE785,7D
0x29BE832,016F
0x29DB8A4,0162
0x29DB908,0162
0x29ED764,0162
0x29ED774,0015
0x29ED782,06130015
0x29ED792,05140015
0x29ED79E,C0
0x29ED7A2,02140015
0x29ED7AE,C0
0x29ED7B2,04140015
0x29ED7BE,C0
0x29ED7C2,0313
0x29ED7C5,5F
0x29ED7D3,00
0x29ED838,0162
0x2A5A9F3,C2
0x2A5AA61,15FA240407FBB4
0x2A5AA6E,1D14
0x2A5AAD3,C2
0x2A5AAE1,15
0x2A5AAEE,0102
0x2A5AAF1,15
0x2A5AAFE,02
0x2A5AB01,15
0x2A5AB0E,0300
0x2A5AB11,15
0x2A5AB1E,0402
0x2A5AC52,017A
0x2A9A775,63
0x2A9A77E,018A
0x2A9ACFF,23
0x2A9AD0F,24
0x2AAD275,63
0x2AAD27E,018A
0x2AB4242,0163
0x2AB424E,018A
0x2AC6705,63
0x2AC670E,018A
0x2AC67DF,25
0x2AF60A8,01
0x2AF60BA,00
0x2AF60C8,03
0x2AFB044,012B
0x2B00044,012B
0x2B03043,5F012B
0x2B0703C,012B
0x2B0B03C,012B
0x2B4F0C6,FFFC
0x2B4F226,FFFC
0x2B4F29A,FFFC
0x2B4F326,FFFC
0x2B4F446,FFFC
0x2B4F4CE,FFFC
0x2B4F58E,FFFC
0x2B4F63E,FFFC
0x2B4F6EE,FFFC
0x2B4F7A2,FFFC
0x2B4F862,FFFC
0x2B4F902,FFFC
0x2CEA1E3,3B
0x2CEA1E5,3D0D48
0x2CEA203,8C
0x2CEA207,0D
0x2D7F03F,03
0x2D83A87,03
0x2D83D07,03
0x2D83F87,03
0x2D84207,03
0x2D84327,03
0x2EA1037,03
0x34652F1,00
0x34652F5,2E
0x34652F9,78044C
0x3465401,00
0x3465405,2E
0x3465409,78044C
0x3468170,018F018A
0x346819F,79
0x34681F0,018F018A
0x346821F,79
0x34730F8,018F018A
0x3473138,018F018A
0x3478100,018F018A
0x3478180,018F018A
0x3499037,03
